Kostenrechnungskreis;ProfitCenter;Buchungskreis;ProfitCenter Typ;Datum Eröffnung PC;Datum Schließung PC;Größe PC in M2;Größe PC in NE;Anzahl Etagen Profit;Status Öffnung PC
100;28160100;100;A;20090101;99991231;10;10;1;X
100;28160101;100;A;20090101;99991231;20;20;2;X
100;28160102;100;A;20090101;99991231;30;30;3;X
100;28160103;100;C;20090101;99991231;40;40;4;X
100;28160104;100;E;20090101;99991231;10;10;5;X
100;28160105;100;F;20090101;99991231;20;20;6;X
100;28160106;100;G;20090101;99991231;30;30;7;X
100;28160107;100;A;20090101;99991231;40;40;8;X
100;28160108;100;A;20090101;99991231;10;10;9;X
100;28160109;100;A;20090101;99991231;20;20;10;X
100;28160110;100;I;20090101;99991231;30;30;11;X
100;28160111;100;M;20090101;99991231;40;40;12;X
100;28160112;100;R;20090101;99991231;10;10;13;X
100;28160113;100;E;20090101;99991231;20;20;14;X
100;28160114;100;G;20090101;99991231;30;30;15;X
100;28160115;100;G;20090101;99991231;40;40;16;X
100;28160116;100;E;20090101;99991231;10;10;17;X
100;28160117;100;E;20090101;99991231;20;20;18;X
200;28160100;200;A;20090101;99991231;30;30;19;X
200;28160101;200;A;20090101;99991231;40;40;20;X
200;28160102;200;A;20090101;99991231;10;10;21;X
200;28160103;200;C;20090101;99991231;20;20;22;X
200;28160104;200;E;20090101;99991231;30;30;23;X
200;28160105;200;F;20090101;99991231;40;40;24;X
200;28160106;200;G;20090101;99991231;10;10;25;X
200;28160107;200;A;20090101;99991231;20;20;26;X
200;28160108;200;A;20090101;99991231;30;30;27;X
200;28160109;200;A;20090101;99991231;40;40;28;X
200;28160110;200;I;20090101;99991231;10;10;29;X
200;28160111;200;M;20090101;99991231;20;20;30;X
200;28160112;200;R;20090101;99991231;30;30;31;X
200;28160113;200;E;20090101;99991231;40;40;32;X
200;28160114;200;G;20090101;99991231;10;10;33;X
200;28160115;200;G;20090101;99991231;20;20;34;X
200;28160116;200;E;20090101;99991231;30;30;35;X
200;28160117;200;E;20090101;99991231;40;40;36;X
