CO_AREA;CostCenter;ProfitCenter;Cost Element;Version;Value type;Currency Type;Valuation view;Functional Area;Fiscal Year;Fiscal Year Variant;Currency;Unit of Measure;;Quantity
0100;1001001100;28160100;9900000001;000;010;00;000;5000;0012008;K4;EUR;M2;10.400,00;115
0100;1001001200;28160101;9900000002;000;010;00;000;5000;0012008;K4;EUR;M2;50.743,80;140
0100;1001001300;28160102;9900000003;000;010;00;000;5000;0012008;K4;EUR;M2;140.536,62;165
0100;1001001400;28160103;9900000001;000;010;00;000;5000;0012008;K4;EUR;M2;386.438,85;190
0100;1001001500;28160104;9900000002;000;010;00;000;5000;0012008;K4;EUR;M2;616.476,42;215
0100;1001001600;28160105;9900000003;000;010;00;000;5000;0012008;K4;EUR;M2;902.040,30;240
0100;1001001700;28160106;9900000001;000;010;00;000;5000;0012008;K4;EUR;M2;1.330.386,12;265
0100;1001002000;28160107;9900000002;000;010;00;000;5000;0012008;K4;EUR;M2;1.663.543,98;290
0100;1001002100;28160108;9900000003;000;010;00;000;5000;0012008;K4;EUR;M2;1.893.581,55;315
0100;1001002200;28160109;9900000001;000;010;00;000;5000;0012008;K4;EUR;M2;2.155.348,44;340
0100;1001002210;28160110;9900000002;000;010;00;000;4000;0012008;K4;EUR;M2;2.377.453,68;365
0100;1001002220;28160111;9900000003;000;010;00;000;4000;0012008;K4;EUR;M2;2.805.799,50;390
0100;1001002230;28160112;1631110000;000;010;00;000;4000;0012008;K4;EUR;M2;3.178.619,01;415
0100;1001002240;28160113;1787130000;000;010;00;000;4000;0012008;K4;EUR;M2;3.440.385,90;440
0100;1001002250;28160114;9900000001;000;010;00;000;4000;0012008;K4;EUR;M2;3.662.491,14;465
0100;1001002300;28160115;9900000002;000;010;00;000;4000;0012008;K4;EUR;M2;3.948.055,02;490
0100;1001002310;28160116;9900000003;000;010;00;000;4000;0012008;K4;EUR;M2;4.376.400,84;515
0100;1001002320;28160117;9900000001;000;010;00;000;5000;0012008;K4;EUR;M2;4.725.423,36;540
0100;1001001100;28160100;9900000001;000;010;00;000;5000;0012009;K4;EUR;M2;1.453,84;565
0100;1001001200;28160101;9900000002;000;010;00;000;5000;0012009;K4;EUR;M2;363,46;590
0100;1001001300;28160102;9900000003;000;010;00;000;5000;0012009;K4;EUR;M2;1.468,25;615
0100;1001001400;28160103;9900000001;000;010;00;000;5000;0012009;K4;EUR;M2;8.809,48;640
0100;1001001500;28160104;9900000002;000;010;00;000;5000;0012009;K4;EUR;M2;3.408,19;665
0100;1001001600;28160105;9900000003;000;010;00;000;5000;0012009;K4;EUR;M2;363,46;690
0100;1001001700;28160106;9900000001;000;010;00;000;5000;0012009;K4;EUR;M2;1.453,84;715
0100;1001002000;28160107;9900000002;000;010;00;000;5000;0012009;K4;EUR;M2;8.809,48;740
0100;1001002100;28160108;9900000003;000;010;00;000;5000;0012009;K4;EUR;M2;2.936,49;765
0100;1001002200;28160109;9900000001;000;010;00;000;5000;0012009;K4;EUR;M2;10.916,62;790
0100;1001002210;28160110;9900000002;000;010;00;000;4000;0012009;K4;EUR;M2;48.596,09;815
0100;1001002220;28160111;9900000003;000;010;00;000;4000;0012009;K4;EUR;M2;11.532,82;840
0100;1001002230;28160112;1631110000;000;010;00;000;4000;0012009;K4;EUR;M2;55.640,57;865
0100;1001002240;28160113;1787130000;000;010;00;000;4000;0012009;K4;EUR;M2;46.131,29;890
0100;1001002250;28160114;9900000001;000;010;00;000;4000;0012009;K4;EUR;M2;11.532,82;915
0100;1001002300;28160115;9900000002;000;010;00;000;4000;0012009;K4;EUR;M2;21.833,25;940
0100;1001002310;28160116;9900000003;000;010;00;000;4000;0012009;K4;EUR;M2;69.422,98;965
0100;1001002320;28160117;9900000001;000;010;00;000;5000;0012009;K4;EUR;M2;35.327,35;990
0100;1001001100;28160100;9900000001;000;010;00;000;5000;0012010;K4;EUR;M2;21.967,28;1015
0100;1001001200;28160101;9900000002;000;010;00;000;5000;0012010;K4;EUR;M2;9.418,69;1040
0100;1001001300;28160102;9900000003;000;010;00;000;5000;0012010;K4;EUR;M2;21.967,28;1065
0100;1001001400;28160103;9900000001;000;010;00;000;5000;0012010;K4;EUR;M2;69.422,98;1090
0100;1001001500;28160104;9900000002;000;010;00;000;5000;0012010;K4;EUR;M2;11.570,50;1115
0100;1001001600;28160105;9900000003;000;010;00;000;5000;0012010;K4;EUR;M2;10.396,79;1140
0100;1001001700;28160106;9900000001;000;010;00;000;5000;0012010;K4;EUR;M2;41.587,14;1165
0100;1001002000;28160107;9900000002;000;010;00;000;5000;0012010;K4;EUR;M2;10.983,64;1190
0100;1001002100;28160108;9900000003;000;010;00;000;5000;0012010;K4;EUR;M2;21.967,28;1215
