Kostenrechnungskreis;Kostenstelle;Buchungskreis;ProfitCenter;Abteilung;Kostenstelle Verantw;Kostenstelle Typ
0100;1001001000;0100;28160100;1100;XYZ;A
0100;1001001100;0100;28160100;1100;XYZ;A
0100;1001001200;0100;28160100;1200;XYZ;A
0100;1001001300;0100;28160100;1300;XYZ;A
0100;1001001400;0100;28160100;1400;XYZ;C
0100;1001001500;0100;28160100;1500;XYZ;E
0100;1001001600;0100;28160100;1600;XYZ;F
0100;1001001700;0100;28160100;1700;XYZ;G
0100;1001002000;0100;28160100;2000;XYZ;A
0100;1001002100;0100;28160100;2100;XYZ;A
0100;1001002200;0100;28160100;2200;XYZ;A
0100;1001002210;0100;28160100;2210;XYZ;I
0100;1001002220;0100;28160100;2220;XYZ;M
0100;1001002230;0100;28160100;2230;XYZ;R
0100;1001002240;0100;28160100;2240;XYZ;E
0100;1001002250;0100;28160100;1100;XYZ;G
0100;1001002300;0100;28160100;2300;XYZ;G
0100;1001002310;0100;28160100;2310;XYZ;E
0100;1001002320;0100;28160100;2320;XYZ;E
0100;1001002330;0100;28160100;1100;XYZ;A
0100;1001002340;0100;28160100;1100;XYZ;A
0100;1001002350;0100;28160100;1200;XYZ;A
0100;1001002360;0100;28160100;1300;XYZ;A
0100;1001002400;0100;28160100;1400;XYZ;C
0100;1001002500;0100;28160100;1500;XYZ;E
0100;1001003000;0100;28160100;1600;XYZ;F
0100;1001003010;0100;28160100;1700;XYZ;G
0100;1001003020;0100;28160100;2000;XYZ;A
0100;1001003100;0100;28160100;2100;XYZ;A
0100;1001003110;0100;28160100;2200;XYZ;A
0100;1001003120;0100;28160100;2210;XYZ;I
0100;1001003130;0100;28160100;2220;XYZ;M
0100;1001003140;0100;28160100;2230;XYZ;R
0100;1001003150;0100;28160100;2240;XYZ;E
0100;1001003160;0100;28160100;1100;XYZ;G
0100;1001003170;0100;28160100;2300;XYZ;G
0100;1001003180;0100;28160100;2310;XYZ;E
0100;1001003190;0100;28160100;2320;XYZ;E
0100;1001003500;0100;28160100;1100;XYZ;A
0100;1001003510;0100;28160100;1100;XYZ;A
0100;1001003520;0100;28160100;1200;XYZ;A
0100;1001003530;0100;28160100;1300;XYZ;A
0100;1001003540;0100;28160100;1400;XYZ;C
0100;1001003550;0100;28160100;1500;XYZ;E
0100;1001003560;0100;28160100;1600;XYZ;F
0100;1001003570;0100;28160100;1700;XYZ;G
0200;1001001100;0200;28160100;1100;XYZ;A
0200;1001001200;0200;28160100;1200;XYZ;A
0200;1001001300;0200;28160100;1300;XYZ;A
0200;1001001400;0200;28160100;1400;XYZ;C
0200;1001001500;0200;28160100;1500;XYZ;E
0200;1001001600;0200;28160100;1600;XYZ;F
0200;1001001700;0200;28160100;1700;XYZ;G
0200;1001002000;0200;28160100;2000;XYZ;A
0200;1001002100;0200;28160100;2100;XYZ;A
0200;1001002200;0200;28160100;2200;XYZ;A
0200;1001002210;0200;28160100;2210;XYZ;I
0200;1001002220;0200;28160100;2220;XYZ;M
0200;1001002230;0200;28160100;2230;XYZ;R
0200;1001002240;0200;28160100;2240;XYZ;E
0200;1001002250;0200;28160100;1100;XYZ;G
0200;1001002300;0200;28160100;2300;XYZ;G
0200;1001002310;0200;28160100;2310;XYZ;E
0200;1001002320;0200;28160100;2320;XYZ;E
